NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;8:37.581;0;;7:46.253;0;19.077;0;32.251;0;16.3;8:37.581;12:53:37.581;7:46.253;0:19.077;0:32.251;;Lucas DI GRASSI;0:07:19.012;;2;Audi Sport Abt Schaeffler Formula E Team;;250;
11;1;2;1:08.290;3;;22.716;3;16.626;3;28.948;3;123.8;9:45.871;12:54:45.871;0:22.716;0:16.626;0:28.948;;Lucas DI GRASSI;;;2;Audi Sport Abt Schaeffler Formula E Team;;250;
2;1;1;6:31.693;0;;5:38.356;0;21.287;0;32.050;0;21.6;6:31.693;12:51:31.693;5:38.356;0:21.287;0:32.050;;Sam BIRD;0:05:09.808;;2;Envision Virgin Racing;;250;
2;1;2;1:09.253;2;;22.912;2;16.675;2;29.666;2;122.1;7:40.946;12:52:40.946;0:22.912;0:16.675;0:29.666;;Sam BIRD;;;2;Envision Virgin Racing;;250;
23;1;1;10:50.876;0;;9:57.736;0;20.974;0;32.166;0;13.0;10:50.876;12:55:50.876;9:57.736;0:20.974;0:32.166;;Sébastien BUEMI;0:09:23.537;;2;Nissan e.dams;;250;
23;1;2;1:08.816;2;;23.009;2;16.809;2;28.998;2;122.8;11:59.692;12:56:59.692;0:23.009;0:16.809;0:28.998;;Sébastien BUEMI;;;2;Nissan e.dams;;250;
5;1;1;4:16.454;0;;3:19.038;0;21.970;0;35.446;0;33.0;4:16.454;12:49:16.454;3:19.038;0:21.970;0:35.446;;Stoffel VANDOORNE;0:02:45.063;;4;HWA RACELAB;;250;
5;1;2;1:09.235;2;;22.911;2;16.858;2;29.466;2;122.1;5:25.689;12:50:25.689;0:22.911;0:16.858;0:29.466;;Stoffel VANDOORNE;;;4;HWA RACELAB;;250;
66;1;1;1:33.014;0;;38.574;0;21.207;0;33.233;0;90.9;1:33.014;12:46:33.014;0:38.574;0:21.207;0:33.233;;Daniel ABT;0:00:05.869;;3;Audi Sport Abt Schaeffler Formula E Team;;250;
66;1;2;1:08.958;2;;22.942;2;16.777;2;29.239;2;122.6;2:41.972;12:47:41.972;0:22.942;0:16.777;0:29.239;;Daniel ABT;;;3;Audi Sport Abt Schaeffler Formula E Team;;250;
66;1;3;6:34.968;0;B;25.281;0;18.582;0;5:51.105;0;21.4;9:16.940;12:54:16.940;0:25.281;0:18.582;5:51.105;;Daniel ABT;;;3;Audi Sport Abt Schaeffler Formula E Team;;250;
94;1;1;13:07.253;0;;12:11.639;0;21.269;0;34.345;0;10.7;13:07.253;12:58:07.253;12:11.639;0:21.269;0:34.345;;Pascal WEHRLEIN;0:11:36.872;;4;MAHINDRA RACING;;250;
94;1;2;1:08.925;2;;22.873;2;16.835;2;29.217;2;122.6;14:16.178;12:59:16.178;0:22.873;0:16.835;0:29.217;;Pascal WEHRLEIN;;;4;MAHINDRA RACING;;250;
