NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;1:30.635;0;;36.662;0;22.624;0;31.349;0;93.3;1:30.635;16:05:33.052;0:36.662;0:22.624;0:31.349;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;1:15.158;0;;24.657;0;18.890;0;31.611;0;112.5;2:45.793;16:06:48.210;0:24.657;0:18.890;0:31.611;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;1:14.430;0;;24.480;0;18.444;0;31.506;0;113.6;4:00.223;16:08:02.640;0:24.480;0:18.444;0:31.506;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;1:13.855;0;;24.014;0;18.592;0;31.249;0;114.5;5:14.078;16:09:16.495;0:24.014;0:18.592;0:31.249;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:13.638;0;;24.238;0;18.516;0;30.884;0;114.8;6:27.716;16:10:30.133;0:24.238;0:18.516;0:30.884;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:13.523;0;;24.223;0;18.554;0;30.746;0;115.0;7:41.239;16:11:43.656;0:24.223;0:18.554;0:30.746;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:12.940;0;;24.006;0;18.236;0;30.698;0;115.9;8:54.179;16:12:56.596;0:24.006;0:18.236;0:30.698;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;1:13.787;0;;24.031;0;18.091;0;31.665;0;114.6;10:07.966;16:14:10.383;0:24.031;0:18.091;0:31.665;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:14.265;0;;25.065;0;18.432;0;30.768;0;113.8;11:22.231;16:15:24.648;0:25.065;0:18.432;0:30.768;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;1:13.281;0;;24.385;0;18.330;0;30.566;0;115.3;12:35.512;16:16:37.929;0:24.385;0:18.330;0:30.566;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;11;1:12.724;0;;23.969;0;18.241;0;30.514;0;116.2;13:48.236;16:17:50.653;0:23.969;0:18.241;0:30.514;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;12;1:13.602;0;;24.385;0;18.205;0;31.012;0;114.8;15:01.838;16:19:04.255;0:24.385;0:18.205;0:31.012;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;13;1:14.125;0;;25.802;0;17.835;0;30.488;0;114.0;16:15.963;16:20:18.380;0:25.802;0:17.835;0:30.488;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;14;1:12.827;0;;24.307;0;18.318;0;30.202;0;116.1;17:28.790;16:21:31.207;0:24.307;0:18.318;0:30.202;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;15;1:13.816;0;;24.311;0;17.714;0;31.791;0;114.5;18:42.606;16:22:45.023;0:24.311;0:17.714;0:31.791;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;16;2:25.859;0;;35.817;0;46.780;0;1:03.262;0;58.0;21:08.465;16:25:10.882;0:35.817;0:46.780;1:03.262;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;17;2:24.343;0;;54.456;0;47.256;0;42.631;0;58.6;23:32.808;16:27:35.225;0:54.456;0:47.256;0:42.631;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;18;1:14.607;0;;25.710;0;18.163;0;30.734;0;113.3;24:47.415;16:28:49.832;0:25.710;0:18.163;0:30.734;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;19;1:53.315;0;;24.116;0;37.507;0;51.692;0;74.6;26:40.730;16:30:43.147;0:24.116;0:37.507;0:51.692;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;20;1:13.071;0;;24.788;0;17.906;0;30.377;0;115.7;27:53.801;16:31:56.218;0:24.788;0:17.906;0:30.377;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;21;1:12.721;0;;24.247;0;17.972;0;30.502;0;116.2;29:06.522;16:33:08.939;0:24.247;0:17.972;0:30.502;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;22;1:13.554;0;;24.125;0;18.665;0;30.764;0;114.9;30:20.076;16:34:22.493;0:24.125;0:18.665;0:30.764;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;23;1:12.460;0;;24.245;0;17.834;0;30.381;0;116.7;31:32.536;16:35:34.953;0:24.245;0:17.834;0:30.381;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;24;1:12.405;0;;24.208;0;17.965;0;30.232;0;116.7;32:44.941;16:36:47.358;0:24.208;0:17.965;0:30.232;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;25;1:12.569;0;;24.175;0;18.200;0;30.194;0;116.5;33:57.510;16:37:59.927;0:24.175;0:18.200;0:30.194;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;26;1:16.154;0;;25.778;0;17.843;0;32.533;0;111.0;35:13.664;16:39:16.081;0:25.778;0:17.843;0:32.533;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
