TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1497091535;10/06/2017 10:45:35;21,2222;46,1111;59;1014,13;4,82803;283;
1497091600;10/06/2017 10:46:40;21,2222;46,6667;59;1014,06;1,60934;317;
1497091665;10/06/2017 10:47:45;21,2778;47,7778;60;1014,06;4,82803;207;
1497091730;10/06/2017 10:48:50;21,2778;48,3333;59;1014,06;1,60934;229;
1497091795;10/06/2017 10:49:55;21,3333;48,8889;59;1014,13;8,04672;5;
1497091860;10/06/2017 10:51:00;21,3333;48,8889;59;1014,13;4,82803;181;
1497091925;10/06/2017 10:52:05;21,3889;49,4444;59;1014,02;4,82803;240;
1497091990;10/06/2017 10:53:10;21,4444;50;59;1013,99;3,21869;252;
1497092055;10/06/2017 10:54:15;21,4444;50,5556;59;1013,96;4,82803;355;
1497092120;10/06/2017 10:55:20;21,5;50,5556;58;1013,96;6,43738;249;
1497092186;10/06/2017 10:56:26;21,5;51,1111;58;1014,02;1,60934;285;
