TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1476000236;09/10/2016 8:03:56;28,7778;37,7778;71;1006,71;6,43738;326;
1476000295;09/10/2016 8:04:55;28,7778;37,7778;70;1006,74;4,82803;331;
1476000355;09/10/2016 8:05:55;28,7222;37,7778;70;1006,74;3,21869;316;
1476000416;09/10/2016 8:06:56;28,6667;37,7778;71;1006,74;1,60934;316;
1476000476;09/10/2016 8:07:56;28,6667;37,7778;71;1006,74;1,60934;316;
1476000536;09/10/2016 8:08:56;28,6111;37,7778;71;1006,78;3,21869;55;
1476000596;09/10/2016 8:09:56;28,6111;37,7778;72;1006,74;1,60934;49;
1476000656;09/10/2016 8:10:56;28,6111;37,7778;72;1006,78;6,43738;338;
1476000716;09/10/2016 8:11:56;28,5556;37,2222;71;1006,78;6,43738;348;
1476000776;09/10/2016 8:12:56;28,5556;37,2222;71;1006,81;6,43738;305;
1476000835;09/10/2016 8:13:55;28,5556;37,2222;72;1006,78;6,43738;312;
1476000895;09/10/2016 8:14:55;28,5;37,2222;71;1006,81;3,21869;319;
1476000955;09/10/2016 8:15:55;28,4444;37,2222;71;1006,81;3,21869;321;
1476001015;09/10/2016 8:16:55;28,4444;37,2222;71;1006,81;3,21869;83;
1476001075;09/10/2016 8:17:55;28,4444;37,2222;71;1006,84;1,60934;69;
1476001135;09/10/2016 8:18:55;28,4444;37,2222;72;1006,88;1,60934;337;
1476001195;09/10/2016 8:19:55;28,4444;37,2222;72;1006,84;4,82803;41;
1476001255;09/10/2016 8:20:55;28,3889;37,2222;71;1006,88;1,60934;61;
1476001315;09/10/2016 8:21:55;28,3889;37,2222;72;1006,91;1,60934;88;
1476001375;09/10/2016 8:22:55;28,3333;37,2222;71;1006,88;6,43738;323;
1476001435;09/10/2016 8:23:55;28,3333;37,2222;71;1006,91;4,82803;341;
1476001495;09/10/2016 8:24:55;28,2778;37,2222;71;1006,91;3,21869;331;
1476001555;09/10/2016 8:25:55;28,2778;37,2222;71;1006,95;3,21869;345;
1476001615;09/10/2016 8:26:55;28,2778;37,2222;72;1006,91;1,60934;350;
1476001675;09/10/2016 8:27:55;28,2778;36,6667;72;1006,95;1,60934;355;
1476001736;09/10/2016 8:28:56;28,2222;36,6667;71;1006,95;0;69;
1476001796;09/10/2016 8:29:56;28,2222;36,6667;72;1006,98;1,60934;340;
1476001856;09/10/2016 8:30:56;28,2222;36,6667;72;1007,01;3,21869;323;
1476001916;09/10/2016 8:31:56;28,2222;36,6667;72;1006,98;3,21869;311;
1476001976;09/10/2016 8:32:56;28,2222;36,6667;72;1007,01;4,82803;319;
1476002036;09/10/2016 8:33:56;28,2222;36,6667;72;1007,05;1,60934;342;
1476002096;09/10/2016 8:34:56;28,2222;36,6667;72;1007,15;3,21869;304;
1476002156;09/10/2016 8:35:56;28,2222;36,6667;73;1007,15;1,60934;312;
1476002216;09/10/2016 8:36:56;28,2222;36,6667;72;1007,15;6,43738;343;
1476002276;09/10/2016 8:37:56;28,1667;36,6667;72;1007,12;1,60934;25;
1476002336;09/10/2016 8:38:56;28,1667;36,6667;72;1007,18;4,82803;44;
1476002396;09/10/2016 8:39:56;28,1667;36,6667;72;1007,18;1,60934;15;
1476002456;09/10/2016 8:40:56;28,1667;36,6667;73;1007,25;3,21869;322;
1476002516;09/10/2016 8:41:56;28,1667;36,6667;73;1007,18;0;112;
1476002576;09/10/2016 8:42:56;28,1667;36,6667;73;1007,22;3,21869;128;
1476002636;09/10/2016 8:43:56;28,1667;36,6667;73;1007,25;3,21869;96;
1476002696;09/10/2016 8:44:56;28,1667;36,6667;73;1007,25;0;94;
1476002756;09/10/2016 8:45:56;28,1667;36,1111;73;1007,25;3,21869;53;
1476002816;09/10/2016 8:46:56;28,1667;36,1111;72;1007,25;1,60934;38;
1476002876;09/10/2016 8:47:56;28,1111;36,1111;72;1007,22;3,21869;35;
1476002936;09/10/2016 8:48:56;28,1111;36,1111;72;1007,25;1,60934;62;
1476002996;09/10/2016 8:49:56;28,0556;36,1111;72;1007,28;1,60934;147;
1476003056;09/10/2016 8:50:56;28,0556;36,1111;72;1007,25;3,21869;82;
1476003116;09/10/2016 8:51:56;28,0556;36,1111;72;1007,25;4,82803;38;
1476003176;09/10/2016 8:52:56;28,0556;36,1111;73;1007,28;6,43738;56;
1476003236;09/10/2016 8:53:56;28;36,1111;72;1007,25;4,82803;45;
1476003296;09/10/2016 8:54:56;28;36,1111;73;1007,25;3,21869;51;
1476003356;09/10/2016 8:55:56;28;36,1111;72;1007,28;1,60934;77;
1476003416;09/10/2016 8:56:56;28;36,1111;72;1007,28;3,21869;95;
