TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1491084232;01/04/2017 22:03:52;27,5;23,3333;34;777,822;3,21869;224;
1491084292;01/04/2017 22:04:52;27,5;23,3333;34;777,755;3,21869;224;
1491084352;01/04/2017 22:05:52;27,5;23,3333;34;777,788;3,21869;224;
1491084412;01/04/2017 22:06:52;27,5;23,3333;34;777,788;3,21869;224;
1491084472;01/04/2017 22:07:52;27,3889;23,3333;34;777,755;8,04672;171;
1491084532;01/04/2017 22:08:52;27,3889;23,3333;34;777,755;9,65606;169;
1491084592;01/04/2017 22:09:52;27,2778;23,3333;34;777,721;8,04672;185;
1491084652;01/04/2017 22:10:52;27,2778;23,3333;34;777,687;3,21869;319;
1491084712;01/04/2017 22:11:52;27,2778;23,3333;34;777,721;9,65606;176;
1491084772;01/04/2017 22:12:52;27,2778;23,3333;34;777,755;9,65606;176;
1491084832;01/04/2017 22:13:52;27,2778;23,3333;34;777,755;9,65606;176;
1491084892;01/04/2017 22:14:52;27,2778;23,3333;34;777,856;9,65606;176;
1491084952;01/04/2017 22:15:52;27,2778;23,3333;34;777,822;4,82803;19;
1491085012;01/04/2017 22:16:52;27,3333;23,3333;34;777,822;6,43738;173;
1491085072;01/04/2017 22:17:52;27,3333;23,3333;34;777,788;4,82803;135;
1491085132;01/04/2017 22:18:52;27,3333;23,3333;34;777,924;17,7028;150;
1491085192;01/04/2017 22:19:52;27,3889;23,3333;34;777,822;8,04672;62;
1491085252;01/04/2017 22:20:52;27,3889;23,3333;34;777,89;19,3121;158;
1491085312;01/04/2017 22:21:52;27,3333;23,3333;34;777,856;9,65606;130;
1491085372;01/04/2017 22:22:52;27,3333;23,3333;34;777,822;9,65606;130;
1491085432;01/04/2017 22:23:52;27,3333;23,3333;34;777,788;9,65606;130;
1491085492;01/04/2017 22:24:52;27,3333;23,3333;34;777,788;9,65606;130;
1491085552;01/04/2017 22:25:52;27,3333;23,3333;34;777,788;9,65606;130;
1491085612;01/04/2017 22:26:52;27,2222;23,3333;34;777,822;12,8748;86;
1491085672;01/04/2017 22:27:52;27,3333;23,3333;34;777,89;4,82803;107;
1491085732;01/04/2017 22:28:52;27,3889;23,3333;34;777,856;8,04672;152;
1491085792;01/04/2017 22:29:52;27,3889;23,3333;34;777,89;6,43738;42;
1491085852;01/04/2017 22:30:52;27,4444;23,3333;34;777,958;6,43738;119;
1491085912;01/04/2017 22:31:52;27,4444;23,3333;34;777,958;4,82803;136;
1491085972;01/04/2017 22:32:52;27,4444;22,7778;34;777,89;4,82803;165;
1491086032;01/04/2017 22:33:52;27,5;22,7778;34;777,958;8,04672;122;
1491086092;01/04/2017 22:34:52;27,5;22,7778;34;777,924;11,2654;71;
1491086152;01/04/2017 22:35:52;27,4444;22,7778;34;777,958;4,82803;205;
1491086212;01/04/2017 22:36:52;27,3889;22,7778;34;777,992;8,04672;79;
1491086272;01/04/2017 22:37:52;27,3889;23,3333;34;777,924;6,43738;59;
1491086332;01/04/2017 22:38:52;27,2778;23,3333;34;777,992;6,43738;115;
1491086392;01/04/2017 22:39:52;27,2778;22,7778;35;777,958;4,82803;121;
1491086452;01/04/2017 22:40:52;27,2778;22,7778;35;777,856;4,82803;115;
1491086512;01/04/2017 22:41:52;27,2778;22,7778;35;777,958;4,82803;115;
1491086572;01/04/2017 22:42:52;27,2778;22,7778;35;777,89;4,82803;115;
1491086632;01/04/2017 22:43:52;27,2222;23,3333;35;777,924;4,82803;286;
1491086692;01/04/2017 22:44:52;27,2222;23,3333;35;777,992;12,8748;173;
1491086752;01/04/2017 22:45:52;27,1667;23,3333;35;777,924;6,43738;167;
1491086812;01/04/2017 22:46:52;27,1111;23,3333;35;777,924;3,21869;225;
1491086872;01/04/2017 22:47:52;27,0556;23,3333;35;777,924;6,43738;121;
1491086933;01/04/2017 22:48:53;27,0556;23,3333;35;777,958;8,04672;172;
1491086992;01/04/2017 22:49:52;27,0556;23,3333;35;777,924;4,82803;179;
1491087052;01/04/2017 22:50:52;27,0556;23,3333;35;777,992;8,04672;165;
1491087112;01/04/2017 22:51:52;27;23,3333;35;777,958;11,2654;194;
1491087172;01/04/2017 22:52:52;26,9444;23,3333;35;777,992;9,65606;207;
1491087233;01/04/2017 22:53:53;26,9444;23,3333;35;778,059;8,04672;189;
1491087292;01/04/2017 22:54:52;26,9444;23,3333;35;778,025;9,65606;205;
1491087353;01/04/2017 22:55:53;26,9444;23,3333;35;778,127;6,43738;297;
1491087413;01/04/2017 22:56:53;26,9444;23,3333;35;778,229;8,04672;162;
1491087473;01/04/2017 22:57:53;26,9444;23,3333;35;778,161;6,43738;118;
1491087533;01/04/2017 22:58:53;26,9444;23,3333;35;778,161;6,43738;40;
1491087593;01/04/2017 22:59:53;26,9444;23,3333;35;778,161;3,21869;96;
