TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1494655224;13/05/2017 6:00:24;17,6111;18,3333;77;1011,04;1,60934;74;
1494655289;13/05/2017 6:01:29;17,6111;18,3333;77;1011,04;1,60934;178;
1494655354;13/05/2017 6:02:34;17,6111;18,3333;77;1011,08;1,60934;190;
1494655419;13/05/2017 6:03:39;17,6111;18,3333;77;1011,08;1,60934;190;
1494655485;13/05/2017 6:04:45;17,6667;18,3333;77;1011,15;1,60934;184;
1494655550;13/05/2017 6:05:50;17,7222;18,3333;77;1011,15;1,60934;103;
1494655615;13/05/2017 6:06:55;17,7778;18,3333;77;1011,18;1,60934;72;
1494655680;13/05/2017 6:08:00;17,7778;18,3333;76;1011,21;1,60934;11;
1494655745;13/05/2017 6:09:05;17,7778;18,3333;76;1011,21;1,60934;95;
1494655810;13/05/2017 6:10:10;17,7778;18,3333;77;1011,18;0;96;
1494655875;13/05/2017 6:11:15;17,7778;18,3333;77;1011,15;1,60934;74;
1494655940;13/05/2017 6:12:20;17,7778;18,3333;77;1011,18;3,21869;84;
1494656005;13/05/2017 6:13:25;17,7778;18,3333;77;1011,15;1,60934;304;
1494656070;13/05/2017 6:14:30;17,7222;18,3333;77;1011,18;1,60934;36;
1494656136;13/05/2017 6:15:36;17,7222;18,3333;77;1011,18;0;37;
1494656201;13/05/2017 6:16:41;17,6667;18,3333;78;1011,28;1,60934;40;
1494656266;13/05/2017 6:17:46;17,6667;18,3333;78;1011,21;3,21869;59;
1494656331;13/05/2017 6:18:51;17,7222;18,3333;78;1011,21;1,60934;214;
1494656396;13/05/2017 6:19:56;17,7222;18,3333;78;1011,25;0;215;
1494656461;13/05/2017 6:21:01;17,7778;18,3333;78;1011,28;1,60934;128;
1494656526;13/05/2017 6:22:06;17,7778;18,3333;78;1011,25;0;128;
1494656591;13/05/2017 6:23:11;17,8333;18,3333;77;1011,25;1,60934;126;
1494656656;13/05/2017 6:24:16;17,8889;18,3333;77;1011,31;3,21869;173;
1494656722;13/05/2017 6:25:22;17,9444;18,3333;77;1011,31;0;179;
1494656787;13/05/2017 6:26:27;18;18,3333;76;1011,31;1,60934;255;
1494656852;13/05/2017 6:27:32;18;18,3333;76;1011,31;3,21869;200;
1494656917;13/05/2017 6:28:37;18,0556;18,3333;76;1011,31;1,60934;193;
1494656982;13/05/2017 6:29:42;18,1111;18,3333;76;1011,35;1,60934;96;
1494657047;13/05/2017 6:30:47;18,1667;18,3333;77;1011,35;3,21869;132;
1494657112;13/05/2017 6:31:52;18,2222;18,3333;77;1011,38;3,21869;155;
1494657177;13/05/2017 6:32:57;18,2778;18,3333;77;1011,42;3,21869;134;
1494657242;13/05/2017 6:34:02;18,2778;18,3333;76;1011,45;3,21869;136;
1494657307;13/05/2017 6:35:07;18,2778;18,3333;77;1011,42;3,21869;124;
1494657372;13/05/2017 6:36:12;18,2222;18,8889;75;1011,45;4,82803;123;
1494657438;13/05/2017 6:37:18;18,1667;18,8889;76;1011,48;3,21869;139;
1494657503;13/05/2017 6:38:23;18,1111;18,8889;76;1011,45;1,60934;86;
1494657568;13/05/2017 6:39:28;18,0556;18,8889;76;1011,45;1,60934;189;
1494657633;13/05/2017 6:40:33;18;18,8889;76;1011,48;1,60934;192;
1494657698;13/05/2017 6:41:38;18;18,8889;76;1011,52;0;205;
1494657763;13/05/2017 6:42:43;18;18,8889;77;1011,48;3,21869;156;
1494657828;13/05/2017 6:43:48;18;19,4444;77;1011,52;0;156;
1494657893;13/05/2017 6:44:53;18,0556;19,4444;77;1011,52;0;156;
