TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1501431009;30/07/2017 16:10:09;25,3889;40;52;1013,95;7,42654;325;
1501431019;30/07/2017 16:10:19;25,3889;40;52;1013,95;6,3656;326;
1501431029;30/07/2017 16:10:29;25,3889;40;52;1013,95;5,30467;337;
1501431039;30/07/2017 16:10:39;25,3889;40;52;1013,95;4,24374;271;
1501431049;30/07/2017 16:10:49;25,4444;40;52;1013,88;8,48747;238;
1501431059;30/07/2017 16:10:59;25,4444;40;53;1013,88;4,24374;260;
1501431069;30/07/2017 16:11:09;25,4444;40;53;1013,88;10,6093;226;
1501431079;30/07/2017 16:11:19;25,4444;40;53;1013,88;7,42654;229;
1501431089;30/07/2017 16:11:29;25,4444;40;53;1013,88;9,54841;214;
1501431099;30/07/2017 16:11:39;25,4444;39,4444;53;1013,88;6,3656;190;
1501431109;30/07/2017 16:11:49;25,4444;39,4444;52;1013,95;4,24374;211;
1501431119;30/07/2017 16:11:59;25,4444;39,4444;52;1013,95;2,12187;208;
1501431129;30/07/2017 16:12:09;25,4444;39,4444;52;1013,95;4,24374;193;
1501431139;30/07/2017 16:12:19;25,4444;39,4444;52;1013,95;4,24374;252;
1501431149;30/07/2017 16:12:29;25,4444;39,4444;52;1013,95;8,48747;217;
1501431159;30/07/2017 16:12:39;25,4444;39,4444;52;1013,95;5,30467;233;
1501431169;30/07/2017 16:12:49;25,4444;39,4444;52;1013,92;4,24374;202;
1501431179;30/07/2017 16:12:59;25,4444;39,4444;52;1013,92;3,1828;217;
1501431189;30/07/2017 16:13:09;25,4444;39,4444;52;1013,92;2,12187;217;
1501431199;30/07/2017 16:13:19;25,4444;39,4444;52;1013,92;3,1828;331;
1501431209;30/07/2017 16:13:29;25,3889;39,4444;52;1013,92;6,3656;207;
1501431219;30/07/2017 16:13:39;25,3889;39,4444;51;1013,92;5,30467;229;
1501431229;30/07/2017 16:13:49;25,3889;39,4444;51;1013,92;3,1828;230;
1501431239;30/07/2017 16:13:59;25,3889;39,4444;51;1013,92;4,24374;225;
1501431249;30/07/2017 16:14:09;25,3889;39,4444;51;1013,92;5,30467;234;
1501431259;30/07/2017 16:14:19;25,3889;39,4444;51;1013,92;4,24374;215;
1501431269;30/07/2017 16:14:29;25,3333;39,4444;52;1013,92;2,12187;188;
1501431279;30/07/2017 16:14:39;25,3333;39,4444;52;1013,92;3,1828;209;
1501431289;30/07/2017 16:14:49;25,3333;39,4444;52;1013,92;4,24374;236;
1501431299;30/07/2017 16:14:59;25,3333;39,4444;52;1013,92;5,30467;225;
1501431309;30/07/2017 16:15:09;25,3333;39,4444;52;1013,92;4,24374;241;
1501431319;30/07/2017 16:15:19;25,3333;39,4444;52;1013,92;4,24374;241;
1501431339;30/07/2017 16:15:39;25,2778;39,4444;52;1013,92;4,24374;231;
1501431349;30/07/2017 16:15:49;25,2778;39,4444;52;1013,88;3,1828;232;
1501431359;30/07/2017 16:15:59;25,2778;39,4444;52;1013,88;3,1828;232;
