TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1500134404;15/07/2017 16:00:04;26,4444;28,8889;77;1012,6;6,3656;294;
1500134414;15/07/2017 16:00:14;26,5;28,8889;77;1012,6;4,24374;290;
1500134424;15/07/2017 16:00:24;26,5;28,8889;77;1012,6;4,24374;306;
1500134434;15/07/2017 16:00:34;26,5;28,8889;76;1012,6;4,24374;304;
1500134444;15/07/2017 16:00:44;26,5;28,8889;76;1012,6;5,30467;263;
1500134454;15/07/2017 16:00:54;26,5;28,8889;76;1012,56;5,30467;292;
1500134464;15/07/2017 16:01:04;26,5;28,8889;76;1012,56;4,24374;279;
1500134474;15/07/2017 16:01:14;26,5556;28,8889;76;1012,56;4,24374;258;
1500134484;15/07/2017 16:01:24;26,5556;28,8889;75;1012,56;7,42654;290;
1500134494;15/07/2017 16:01:34;26,5556;28,8889;75;1012,56;5,30467;269;
1500134504;15/07/2017 16:01:44;26,5556;28,8889;75;1012,56;5,30467;313;
1500134514;15/07/2017 16:01:54;26,6111;28,8889;75;1012,6;3,1828;294;
1500134524;15/07/2017 16:02:04;26,6111;28,8889;75;1012,6;5,30467;300;
1500134534;15/07/2017 16:02:14;26,6667;28,8889;75;1012,6;4,24374;288;
1500134544;15/07/2017 16:02:24;26,6667;28,8889;75;1012,6;4,24374;265;
1500134554;15/07/2017 16:02:34;26,6667;29,4444;75;1012,6;4,24374;286;
1500134564;15/07/2017 16:02:44;26,6667;29,4444;75;1012,6;6,3656;274;
1500134574;15/07/2017 16:02:54;26,6667;29,4444;75;1012,56;5,30467;309;
1500134584;15/07/2017 16:03:04;26,6667;29,4444;75;1012,56;5,30467;309;
1500134594;15/07/2017 16:03:14;26,7222;29,4444;75;1012,56;7,42654;318;
1500134604;15/07/2017 16:03:24;26,7222;29,4444;75;1012,56;4,24374;300;
1500134614;15/07/2017 16:03:34;26,7222;29,4444;75;1012,56;3,1828;327;
1500134624;15/07/2017 16:03:44;26,7222;29,4444;75;1012,56;3,1828;250;
1500134634;15/07/2017 16:03:54;26,7778;29,4444;75;1012,63;2,12187;262;
1500134644;15/07/2017 16:04:04;26,7778;29,4444;75;1012,63;3,1828;269;
1500134654;15/07/2017 16:04:14;26,7778;29,4444;75;1012,63;6,3656;294;
1500134664;15/07/2017 16:04:24;26,7778;29,4444;75;1012,63;6,3656;294;
1500134674;15/07/2017 16:04:34;26,7778;29,4444;75;1012,63;6,3656;294;
1500134684;15/07/2017 16:04:44;26,7778;29,4444;75;1012,63;4,24374;251;
1500134694;15/07/2017 16:04:54;26,8333;29,4444;75;1012,6;5,30467;246;
1500134704;15/07/2017 16:05:04;26,8333;29,4444;75;1012,6;5,30467;287;
1500134714;15/07/2017 16:05:14;26,8333;29,4444;75;1012,6;5,30467;287;
1500134724;15/07/2017 16:05:24;26,8333;29,4444;75;1012,6;5,30467;287;
1500134734;15/07/2017 16:05:34;26,8333;29,4444;75;1012,6;5,30467;287;
1500134744;15/07/2017 16:05:44;26,8333;29,4444;75;1012,6;5,30467;287;
1500134754;15/07/2017 16:05:54;26,8333;29,4444;75;1012,6;5,30467;287;
