TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1500149115;15/07/2017 20:05:15;29,2778;33,8889;60;1010,94;7,42654;296;
1500149125;15/07/2017 20:05:25;29,2778;33,8889;60;1010,94;5,30467;308;
1500149135;15/07/2017 20:05:35;29,2778;33,8889;60;1010,94;7,42654;319;
1500149145;15/07/2017 20:05:45;29,2778;33,8889;60;1010,94;5,30467;319;
1500149155;15/07/2017 20:05:55;29,2778;33,8889;60;1010,94;5,30467;288;
1500149165;15/07/2017 20:06:05;29,2222;33,8889;60;1010,94;6,3656;298;
1500149175;15/07/2017 20:06:15;29,2222;33,8889;60;1010,94;5,30467;315;
1500149185;15/07/2017 20:06:25;29,2222;33,8889;60;1010,94;5,30467;299;
1500149195;15/07/2017 20:06:35;29,2222;33,8889;60;1010,94;5,30467;298;
1500149205;15/07/2017 20:06:45;29,2222;33,8889;60;1010,94;7,42654;291;
1500149215;15/07/2017 20:06:55;29,2222;33,8889;60;1010,94;5,30467;287;
1500149225;15/07/2017 20:07:05;29,2222;33,8889;60;1010,94;7,42654;315;
1500149235;15/07/2017 20:07:15;29,2222;33,8889;60;1010,94;4,24374;304;
1500149245;15/07/2017 20:07:25;29,2222;33,8889;59;1010,94;6,3656;286;
1500149255;15/07/2017 20:07:35;29,2222;33,8889;59;1010,94;5,30467;298;
1500149265;15/07/2017 20:07:45;29,2222;33,8889;59;1010,94;3,1828;313;
1500149275;15/07/2017 20:07:55;29,2222;33,8889;59;1010,9;5,30467;300;
1500149285;15/07/2017 20:08:05;29,2222;33,8889;59;1010,9;7,42654;300;
1500149295;15/07/2017 20:08:15;29,2222;33,8889;59;1010,9;5,30467;336;
1500149305;15/07/2017 20:08:25;29,2778;33,8889;59;1010,9;5,30467;360;
1500149315;15/07/2017 20:08:35;29,2778;33,8889;59;1010,9;5,30467;355;
1500149325;15/07/2017 20:08:45;29,2778;33,8889;59;1010,9;3,1828;346;
1500149335;15/07/2017 20:08:55;29,2778;33,8889;59;1010,94;4,24374;342;
1500149345;15/07/2017 20:09:05;29,2778;33,8889;58;1010,94;5,30467;286;
1500149355;15/07/2017 20:09:15;29,2778;33,8889;58;1010,94;8,48747;308;
1500149365;15/07/2017 20:09:25;29,2778;33,8889;58;1010,94;8,48747;301;
1500149375;15/07/2017 20:09:35;29,2778;33,8889;58;1010,94;6,3656;311;
1500149385;15/07/2017 20:09:45;29,2778;33,8889;58;1010,94;4,24374;317;
1500149395;15/07/2017 20:09:55;29,2778;33,8889;59;1010,97;6,3656;302;
1500149405;15/07/2017 20:10:05;29,2778;33,8889;59;1010,97;9,54841;306;
1500149415;15/07/2017 20:10:15;29,2778;33,8889;59;1010,97;9,54841;306;
1500149425;15/07/2017 20:10:25;29,2778;33,8889;59;1010,97;9,54841;306;
1500149435;15/07/2017 20:10:35;29,2778;33,8889;59;1010,97;4,24374;313;
1500149445;15/07/2017 20:10:45;29,2778;33,8889;59;1010,97;4,24374;313;
1500149455;15/07/2017 20:10:55;29,2778;33,8889;59;1010,9;3,1828;314;
1500149465;15/07/2017 20:11:05;29,2778;33,8889;59;1010,9;3,1828;314;
1500149475;15/07/2017 20:11:15;29,3333;33,8889;59;1010,9;3,1828;330;
1500149485;15/07/2017 20:11:25;29,3333;33,8889;59;1010,9;2,12187;247;
1500149495;15/07/2017 20:11:35;29,3333;33,8889;59;1010,9;2,12187;247;
1500149505;15/07/2017 20:11:45;29,3333;33,8889;59;1010,9;6,3656;290;
1500149515;15/07/2017 20:11:55;29,3333;33,8889;59;1010,97;6,3656;290;
1500149525;15/07/2017 20:12:05;29,3333;33,8889;59;1010,97;4,24374;267;
1500149535;15/07/2017 20:12:15;29,3889;33,8889;59;1010,97;5,30467;323;
1500149545;15/07/2017 20:12:25;29,3889;33,8889;59;1010,97;5,30467;323;
1500149555;15/07/2017 20:12:35;29,3889;33,8889;59;1010,97;6,3656;281;
1500149565;15/07/2017 20:12:45;29,3889;33,8889;59;1010,97;5,30467;348;
1500149575;15/07/2017 20:12:55;29,3889;33,8889;59;1010,9;5,30467;26;
1500149585;15/07/2017 20:13:05;29,3889;33,8889;59;1010,9;4,24374;22;
1500149595;15/07/2017 20:13:15;29,3889;33,8889;59;1010,9;5,30467;288;
1500149605;15/07/2017 20:13:25;29,3889;33,8889;59;1010,9;6,3656;286;
1500149615;15/07/2017 20:13:35;29,3889;33,8889;59;1010,9;6,3656;313;
1500149625;15/07/2017 20:13:45;29,3889;33,8889;59;1010,9;4,24374;327;
1500149635;15/07/2017 20:13:55;29,3889;33,8889;59;1010,94;3,1828;283;
1500149645;15/07/2017 20:14:05;29,3889;33,8889;59;1010,94;2,12187;295;
1500149655;15/07/2017 20:14:15;29,4444;33,8889;59;1010,94;4,24374;327;
1500149665;15/07/2017 20:14:25;29,4444;33,8889;59;1010,94;4,24374;307;
1500149675;15/07/2017 20:14:35;29,4444;33,8889;59;1010,94;4,24374;306;
1500149685;15/07/2017 20:14:45;29,4444;33,8889;59;1010,94;4,24374;315;
1500149695;15/07/2017 20:14:55;29,4444;33,8889;59;1010,94;4,24374;294;
1500149705;15/07/2017 20:15:05;29,4444;33,8889;59;1010,94;7,42654;335;
1500149715;15/07/2017 20:15:15;29,4444;33,8889;60;1010,94;2,12187;284;
1500149725;15/07/2017 20:15:25;29,4444;33,8889;60;1010,94;3,1828;293;
