TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1526722244;19/05/2018 9:30:44;18,0556;17,2222;42;1015,58;2,12187;53;
1526722304;19/05/2018 9:31:44;18,1111;17,2222;43;1015,61;3,1828;90;
1526722364;19/05/2018 9:32:44;18,1111;17,2222;43;1015,71;7,42654;84;
1526722429;19/05/2018 9:33:49;18,1111;17,2222;42;1015,61;4,24374;153;
1526722489;19/05/2018 9:34:49;18,1111;17,2222;43;1015,61;3,1828;57;
1526722549;19/05/2018 9:35:49;18,1111;17,2222;43;1015,58;4,24374;37;
1526722609;19/05/2018 9:36:49;18,1667;17,2222;43;1015,65;4,24374;76;
1526722669;19/05/2018 9:37:49;18,2222;17,2222;43;1015,48;4,24374;72;
1526722734;19/05/2018 9:38:54;18,2222;17,2222;42;1015,58;3,1828;55;
1526722794;19/05/2018 9:39:54;18,2778;17,2222;43;1015,54;5,30467;87;
1526722854;19/05/2018 9:40:54;18,2222;17,7778;42;1015,51;5,30467;72;
1526722914;19/05/2018 9:41:54;18,2222;17,7778;41;1015,51;4,24374;85;
1526722974;19/05/2018 9:42:54;18,1667;17,7778;42;1015,51;5,30467;67;
1526723039;19/05/2018 9:43:59;18,1667;17,7778;41;1015,58;3,1828;74;
1526723099;19/05/2018 9:44:59;18,2222;17,7778;42;1015,58;4,24374;90;
1526723159;19/05/2018 9:45:59;18,2222;17,7778;41;1015,58;7,42654;82;
1526723219;19/05/2018 9:46:59;18,2778;17,7778;41;1015,58;4,24374;40;
1526723279;19/05/2018 9:47:59;18,2778;17,7778;41;1015,54;2,12187;72;
1526723339;19/05/2018 9:48:59;18,2778;17,7778;42;1015,51;2,12187;70;
1526723399;19/05/2018 9:49:59;18,2778;17,7778;42;1015,54;4,24374;31;
1526723459;19/05/2018 9:50:59;18,3333;17,7778;41;1015,54;4,24374;88;
1526723524;19/05/2018 9:52:04;18,3333;17,7778;41;1015,48;1,06093;83;
1526723584;19/05/2018 9:53:04;18,3889;17,7778;41;1015,48;1,06093;82;
1526723644;19/05/2018 9:54:04;18,4444;17,7778;41;1015,51;4,24374;40;
1526723704;19/05/2018 9:55:04;18,5;17,7778;41;1015,58;4,24374;40;
1526723764;19/05/2018 9:56:04;18,5556;17,7778;40;1015,61;4,24374;61;
1526723829;19/05/2018 9:57:09;18,6111;17,7778;40;1015,54;5,30467;71;
1526723894;19/05/2018 9:58:14;18,6667;17,7778;40;1015,54;6,3656;67;
1526723954;19/05/2018 9:59:14;18,6667;17,7778;40;1015,58;3,1828;67;
