TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1515830429;13/01/2018 8:00:29;7,88889;8,88889;86;963,766;0;267;
1515830489;13/01/2018 8:01:29;7,88889;8,88889;86;963,8;0;267;
1515830549;13/01/2018 8:02:29;7,88889;8,88889;86;963,834;2,12187;318;
1515830609;13/01/2018 8:03:29;7,88889;8,88889;86;963,834;2,12187;346;
1515830669;13/01/2018 8:04:29;7,88889;8,88889;86;963,834;3,1828;337;
1515830729;13/01/2018 8:05:29;7,88889;8,88889;86;963,834;2,12187;328;
1515830789;13/01/2018 8:06:29;7,94444;8,88889;86;963,868;1,06093;328;
1515830854;13/01/2018 8:07:34;7,94444;8,88889;86;963,868;3,1828;323;
1515830914;13/01/2018 8:08:34;8;8,88889;86;963,902;2,12187;313;
1515830974;13/01/2018 8:09:34;8;8,88889;86;963,868;1,06093;313;
1515831034;13/01/2018 8:10:34;8,05556;8,88889;86;963,902;2,12187;320;
1515831094;13/01/2018 8:11:34;8,05556;8,88889;86;963,868;0;320;
1515831154;13/01/2018 8:12:34;8,05556;8,88889;86;963,969;0;319;
1515831214;13/01/2018 8:13:34;8,11111;8,88889;86;963,868;1,06093;319;
1515831279;13/01/2018 8:14:39;8,11111;8,88889;86;963,969;3,1828;333;
1515831339;13/01/2018 8:15:39;8,16667;8,88889;86;963,969;2,12187;327;
1515831399;13/01/2018 8:16:39;8,16667;8,88889;86;964,003;2,12187;334;
1515831459;13/01/2018 8:17:39;8,22222;8,88889;86;964,037;2,12187;325;
1515831519;13/01/2018 8:18:39;8,27778;8,88889;86;963,969;3,1828;336;
1515831580;13/01/2018 8:19:40;8,33333;8,88889;85;964,003;2,12187;330;
1515831640;13/01/2018 8:20:40;8,33333;8,88889;85;964,003;2,12187;345;
1515831700;13/01/2018 8:21:40;8,38889;8,88889;85;963,969;2,12187;340;
1515831760;13/01/2018 8:22:40;8,44444;8,88889;85;964,037;4,24374;327;
1515831820;13/01/2018 8:23:40;8,5;8,88889;85;964,037;3,1828;337;
1515831880;13/01/2018 8:24:40;8,55556;8,88889;85;964,037;2,12187;346;
1515831940;13/01/2018 8:25:40;8,55556;8,88889;85;964,003;2,12187;314;
1515832000;13/01/2018 8:26:40;8,61111;9,44444;85;964,003;2,12187;325;
1515832065;13/01/2018 8:27:45;8,66667;9,44444;85;964,071;1,06093;320;
1515832125;13/01/2018 8:28:45;8,66667;9,44444;84;964,037;2,12187;318;
1515832185;13/01/2018 8:29:45;8,72222;9,44444;84;964,037;2,12187;317;
1515832245;13/01/2018 8:30:45;8,77778;9,44444;84;964,071;3,1828;339;
1515832305;13/01/2018 8:31:45;8,77778;9,44444;84;964,071;1,06093;329;
1515832366;13/01/2018 8:32:46;8,83333;9,44444;84;964,071;1,06093;329;
1515832425;13/01/2018 8:33:45;8,88889;9,44444;84;964,071;2,12187;342;
1515832486;13/01/2018 8:34:46;8,88889;9,44444;84;964,071;1,06093;344;
1515832546;13/01/2018 8:35:46;8,94444;9,44444;84;964,037;0;344;
1515832606;13/01/2018 8:36:46;8,94444;9,44444;84;964,037;1,06093;344;
1515832666;13/01/2018 8:37:46;8,94444;9,44444;84;964,037;0;333;
1515832726;13/01/2018 8:38:46;9;9,44444;84;964,003;1,06093;182;
1515832786;13/01/2018 8:39:46;9,05556;9,44444;84;964,037;1,06093;181;
1515832846;13/01/2018 8:40:46;9,11111;9,44444;84;963,969;2,12187;219;
1515832906;13/01/2018 8:41:46;9,16667;9,44444;84;964,003;1,06093;261;
1515832966;13/01/2018 8:42:46;9,22222;9,44444;84;964,003;1,06093;186;
1515833031;13/01/2018 8:43:51;9,27778;9,44444;84;963,969;2,12187;291;
1515833091;13/01/2018 8:44:51;9,38889;9,44444;84;964,003;1,06093;198;
