TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1515848117;13/01/2018 12:55:17;11,7222;15,5556;91;963,766;1,06093;321;
1515848182;13/01/2018 12:56:22;11,7222;15,5556;91;963,766;0;321;
1515848242;13/01/2018 12:57:22;11,7778;15,5556;92;963,8;1,06093;333;
1515848302;13/01/2018 12:58:22;11,7778;15,5556;92;963,8;3,1828;256;
1515848362;13/01/2018 12:59:22;11,7778;15,5556;91;963,766;2,12187;304;
1515848422;13/01/2018 13:00:22;11,8333;15,5556;91;963,834;1,06093;317;
1515848487;13/01/2018 13:01:27;11,8333;15,5556;91;963,766;1,06093;279;
1515848547;13/01/2018 13:02:27;11,8333;15,5556;91;963,8;2,12187;290;
1515848607;13/01/2018 13:03:27;11,8889;15,5556;91;963,732;3,1828;293;
1515848667;13/01/2018 13:04:27;11,8889;15,5556;91;963,665;4,24374;298;
1515848727;13/01/2018 13:05:27;11,8889;15,5556;91;963,732;2,12187;342;
1515848792;13/01/2018 13:06:32;11,8889;15,5556;91;963,766;2,12187;339;
1515848857;13/01/2018 13:07:37;11,8889;15;91;963,699;3,1828;320;
1515848922;13/01/2018 13:08:42;11,8889;15;91;963,699;4,24374;331;
1515848982;13/01/2018 13:09:42;11,8889;15,5556;91;963,732;2,12187;327;
1515849042;13/01/2018 13:10:42;11,8889;15,5556;91;963,699;1,06093;288;
1515849102;13/01/2018 13:11:42;11,8889;15,5556;91;963,665;2,12187;306;
1515849162;13/01/2018 13:12:42;11,8889;15,5556;91;963,699;2,12187;288;
1515849227;13/01/2018 13:13:47;11,8889;15,5556;90;963,631;2,12187;282;
