TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1515859455;13/01/2018 16:04:15;15,7778;13,8889;76;962,954;2,12187;309;
1515859515;13/01/2018 16:05:15;15,7222;13,8889;76;962,954;2,12187;274;
1515859575;13/01/2018 16:06:15;15,7222;13,8889;76;962,954;1,06093;332;
1515859635;13/01/2018 16:07:15;15,7222;13,8889;76;962,954;4,24374;307;
1515859695;13/01/2018 16:08:15;15,6667;13,8889;76;962,987;1,06093;311;
1515859755;13/01/2018 16:09:15;15,6667;13,8889;76;962,987;2,12187;329;
1515859815;13/01/2018 16:10:15;15,6667;13,8889;76;962,954;2,12187;315;
1515859880;13/01/2018 16:11:20;15,6667;13,8889;76;962,954;7,42654;325;
1515859940;13/01/2018 16:12:20;15,6667;13,8889;76;962,987;2,12187;323;
1515860005;13/01/2018 16:13:25;15,6667;13,8889;76;962,987;1,06093;333;
1515860065;13/01/2018 16:14:25;15,6667;13,8889;76;963,055;3,1828;336;
1515860130;13/01/2018 16:15:30;15,6667;13,8889;76;963,055;5,30467;11;
1515860190;13/01/2018 16:16:30;15,6667;13,8889;76;963,055;2,12187;311;
1515860250;13/01/2018 16:17:30;15,6667;13,8889;76;963,089;2,12187;307;
1515860310;13/01/2018 16:18:30;15,7222;13,8889;76;963,021;7,42654;341;
1515860375;13/01/2018 16:19:35;15,6667;13,8889;75;963,021;2,12187;303;
1515860440;13/01/2018 16:20:40;15,6667;13,8889;75;962,954;1,06093;331;
1515860505;13/01/2018 16:21:45;15,6667;13,8889;76;962,987;4,24374;326;
1515860565;13/01/2018 16:22:45;15,6667;13,8889;76;963,021;7,42654;348;
1515860625;13/01/2018 16:23:45;15,6667;13,8889;76;962,987;2,12187;308;
1515860685;13/01/2018 16:24:45;15,6111;13,8889;76;963,055;1,06093;360;
1515860751;13/01/2018 16:25:51;15,6111;13,8889;76;963,021;4,24374;336;
1515860810;13/01/2018 16:26:50;15,6111;13,8889;76;963,089;6,3656;355;
1515860875;13/01/2018 16:27:55;15,5556;13,8889;75;963,055;3,1828;317;
1515860941;13/01/2018 16:29:01;15,5556;13,8889;75;963,055;3,1828;325;
1515861001;13/01/2018 16:30:01;15,5;13,8889;75;963,089;2,12187;325;
1515861061;13/01/2018 16:31:01;15,5;13,8889;75;963,123;5,30467;337;
1515861121;13/01/2018 16:32:01;15,4444;13,8889;75;963,123;3,1828;340;
1515861181;13/01/2018 16:33:01;15,4444;13,8889;76;963,123;4,24374;335;
1515861241;13/01/2018 16:34:01;15,3889;13,8889;76;963,089;4,24374;347;
1515861301;13/01/2018 16:35:01;15,3333;13,8889;76;963,089;3,1828;331;
1515861361;13/01/2018 16:36:01;15,2778;13,8889;76;963,089;4,24374;351;
1515861426;13/01/2018 16:37:06;15,2222;13,8889;76;963,123;4,24374;338;
1515861486;13/01/2018 16:38:06;15,2222;13,8889;76;963,089;4,24374;322;
1515861551;13/01/2018 16:39:11;15,1667;13,8889;76;963,157;3,1828;338;
1515861611;13/01/2018 16:40:11;15,1111;13,8889;76;963,123;4,24374;342;
1515861671;13/01/2018 16:41:11;15,1111;13,8889;76;963,157;4,24374;331;
1515861731;13/01/2018 16:42:11;15,0556;13,8889;76;963,157;4,24374;324;
1515861796;13/01/2018 16:43:16;15,1111;13,8889;77;963,157;2,12187;340;
1515861856;13/01/2018 16:44:16;15,1111;13,8889;76;963,191;4,24374;284;
1515861921;13/01/2018 16:45:21;15,1111;13,8889;76;963,191;5,30467;350;
1515861981;13/01/2018 16:46:21;15,1111;13,8889;76;963,258;2,12187;306;
1515862041;13/01/2018 16:47:21;15,1111;13,8889;76;963,224;6,3656;344;
1515862101;13/01/2018 16:48:21;15,1111;13,8889;77;963,258;3,1828;336;
1515862161;13/01/2018 16:49:21;15,1667;13,8889;77;963,258;2,12187;323;
1515862221;13/01/2018 16:50:21;15,1667;13,8889;77;963,292;5,30467;330;
1515862282;13/01/2018 16:51:22;15,1111;13,8889;77;963,326;4,24374;319;
