TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1531584905;14/07/2018 16:15:05;30,0556;42,2222;58;1017,91;6,3656;205;
1531584965;14/07/2018 16:16:05;30,0556;42,2222;58;1017,88;4,24374;221;
1531585030;14/07/2018 16:17:10;30;42,2222;59;1017,91;6,3656;232;
1531585090;14/07/2018 16:18:10;29,9444;42,2222;59;1017,85;8,48747;246;
1531585150;14/07/2018 16:19:10;29,9444;42,2222;58;1017,88;3,1828;251;
1531585210;14/07/2018 16:20:10;29,8889;42,2222;58;1017,85;5,30467;244;
1531585270;14/07/2018 16:21:10;29,8889;42,2222;58;1017,85;8,48747;234;
1531585330;14/07/2018 16:22:10;29,8889;42,2222;57;1017,88;6,3656;235;
1531585390;14/07/2018 16:23:10;29,8889;42,2222;57;1017,81;6,3656;221;
1531585455;14/07/2018 16:24:15;29,8889;42,2222;57;1017,88;4,24374;229;
1531585520;14/07/2018 16:25:20;29,9444;42,7778;58;1017,88;3,1828;200;
1531585580;14/07/2018 16:26:20;30,0556;42,7778;58;1017,88;5,30467;237;
1531585640;14/07/2018 16:27:20;30,1667;42,7778;57;1017,91;5,30467;221;
1531585700;14/07/2018 16:28:20;30,1667;42,7778;56;1017,91;3,1828;229;
