TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1531669535;15/07/2018 15:45:35;22,6111;23,3333;89;1015,37;1,06093;300;
1531669595;15/07/2018 15:46:35;22,6111;23,3333;90;1015,34;5,30467;228;
1531669660;15/07/2018 15:47:40;22,5556;23,3333;89;1015,34;4,24374;234;
1531669720;15/07/2018 15:48:40;22,5556;23,3333;89;1015,44;4,24374;238;
1531669780;15/07/2018 15:49:40;22,5;23,3333;89;1015,48;2,12187;247;
1531669840;15/07/2018 15:50:40;22,5;23,3333;90;1015,48;3,1828;234;
1531669905;15/07/2018 15:51:45;22,4444;23,3333;90;1015,51;5,30467;240;
1531669965;15/07/2018 15:52:45;22,3889;23,3333;90;1015,51;4,24374;225;
1531670025;15/07/2018 15:53:45;22,3333;23,3333;90;1015,48;4,24374;211;
1531670085;15/07/2018 15:54:45;22,2778;23,3333;90;1015,44;3,1828;221;
1531670145;15/07/2018 15:55:45;22,2778;23,3333;91;1015,44;4,24374;236;
1531670205;15/07/2018 15:56:45;22,2222;23,3333;91;1015,37;3,1828;220;
1531670270;15/07/2018 15:57:50;22,2222;23,3333;91;1015,41;3,1828;240;
