TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1524912339;28/04/2018 10:45:39;15,2222;22,2222;61;1007,21;2,12187;205;
1524912399;28/04/2018 10:46:39;15,2778;22,2222;61;1007,18;3,1828;178;
1524912459;28/04/2018 10:47:39;15,2778;22,2222;60;1007,21;2,12187;240;
1524912519;28/04/2018 10:48:39;15,2778;22,2222;60;1007,21;5,30467;215;
1524912579;28/04/2018 10:49:39;15,2222;22,2222;60;1007,18;1,06093;248;
1524912644;28/04/2018 10:50:44;15,2222;22,2222;60;1007,15;3,1828;200;
1524912704;28/04/2018 10:51:44;15,1667;22,2222;60;1007,15;5,30467;204;
1524912769;28/04/2018 10:52:49;15,1667;22,2222;61;1007,21;3,1828;300;
1524912829;28/04/2018 10:53:49;15,1667;22,2222;61;1007,28;4,24374;190;
1524912889;28/04/2018 10:54:49;15,1111;22,2222;61;1007,28;4,24374;111;
