TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1521313448;17/03/2018 19:04:08;30,5556;37,2222;49;1004,98;3,1828;65;
1521313508;17/03/2018 19:05:08;30,5556;37,2222;49;1004,94;1,06093;225;
1521313568;17/03/2018 19:06:08;30,5556;37,2222;50;1004,91;1,06093;176;
1521313633;17/03/2018 19:07:13;30,5556;37,2222;51;1004,91;3,1828;109;
1521313693;17/03/2018 19:08:13;30,5;37,2222;51;1004,81;2,12187;134;
1521313753;17/03/2018 19:09:13;30,5;37,2222;51;1004,81;2,12187;115;
1521313814;17/03/2018 19:10:14;30,4444;37,2222;51;1004,84;3,1828;32;
1521313874;17/03/2018 19:11:14;30,4444;37,2222;52;1004,81;0;11;
1521313938;17/03/2018 19:12:18;30,3333;36,6667;52;1004,78;2,12187;41;
1521313998;17/03/2018 19:13:18;30,3333;36,6667;52;1004,78;1,06093;318;
1521314063;17/03/2018 19:14:23;30,2778;36,6667;53;1004,74;1,06093;28;
1521314128;17/03/2018 19:15:28;30,2778;36,6667;53;1004,74;4,24374;44;
1521314188;17/03/2018 19:16:28;30,2222;36,6667;53;1004,74;1,06093;45;
1521314253;17/03/2018 19:17:33;30,2222;36,6667;53;1004,71;1,06093;37;
1521314318;17/03/2018 19:18:38;30,2222;36,6667;53;1004,71;1,06093;52;
1521314383;17/03/2018 19:19:43;30,1667;36,1111;53;1004,67;1,06093;26;
1521314443;17/03/2018 19:20:43;30,1667;36,1111;53;1004,67;1,06093;71;
1521314503;17/03/2018 19:21:43;30,1667;36,1111;53;1004,61;4,24374;65;
1521314568;17/03/2018 19:22:48;30,1667;36,1111;53;1004,64;1,06093;69;
1521314628;17/03/2018 19:23:48;30,1667;36,1111;52;1004,61;2,12187;30;
1521314693;17/03/2018 19:24:53;30,1667;36,1111;53;1004,64;1,06093;61;
1521314754;17/03/2018 19:25:54;30,1111;36,1111;53;1004,64;0;61;
1521314814;17/03/2018 19:26:54;30,1667;36,1111;53;1004,57;1,06093;98;
1521314879;17/03/2018 19:27:59;30,1667;36,1111;53;1004,61;1,06093;92;
1521314944;17/03/2018 19:29:04;30,1667;36,1111;52;1004,5;0;71;
1521315004;17/03/2018 19:30:04;30,2222;36,1111;52;1004,57;1,06093;65;
1521315064;17/03/2018 19:31:04;30,2778;36,1111;52;1004,54;3,1828;282;
1521315129;17/03/2018 19:32:09;30,3333;36,1111;52;1004,57;3,1828;217;
1521315194;17/03/2018 19:33:14;30,3333;36,1111;51;1004,54;2,12187;15;
1521315254;17/03/2018 19:34:14;30,3889;36,1111;51;1004,57;1,06093;42;
1521315314;17/03/2018 19:35:14;30,3333;36,1111;51;1004,54;2,12187;44;
1521315374;17/03/2018 19:36:14;30,3333;36,1111;51;1004,5;1,06093;13;
1521315439;17/03/2018 19:37:19;30,2778;36,1111;51;1004,5;3,1828;47;
1521315504;17/03/2018 19:38:24;30,2222;36,1111;51;1004,5;0;61;
1521315564;17/03/2018 19:39:24;30,1667;36,1111;52;1004,44;1,06093;61;
1521315629;17/03/2018 19:40:29;30,1111;35,5556;52;1004,5;1,06093;86;
1521315694;17/03/2018 19:41:34;30,0556;35,5556;52;1004,44;1,06093;85;
1521315754;17/03/2018 19:42:34;30,0556;35,5556;52;1004,4;1,06093;192;
1521315819;17/03/2018 19:43:39;30,0556;35,5556;52;1004,37;3,1828;57;
1521315884;17/03/2018 19:44:44;30,0556;35,5556;52;1004,37;1,06093;80;
1521315949;17/03/2018 19:45:49;30,0556;35,5556;52;1004,4;4,24374;37;
1521316009;17/03/2018 19:46:49;30;35,5556;52;1004,34;4,24374;50;
1521316074;17/03/2018 19:47:54;29,9444;35,5556;52;1004,34;2,12187;101;
1521316138;17/03/2018 19:48:58;29,9444;35,5556;53;1004,34;2,12187;90;
1521316199;17/03/2018 19:49:59;29,9444;35,5556;52;1004,37;2,12187;40;
1521316264;17/03/2018 19:51:04;29,9444;35,5556;53;1004,27;2,12187;40;
1521316324;17/03/2018 19:52:04;29,9444;35,5556;53;1004,2;3,1828;105;
1521316384;17/03/2018 19:53:04;29,9444;35,5556;52;1004,2;2,12187;110;
1521316449;17/03/2018 19:54:09;29,8889;35,5556;52;1004,13;2,12187;45;
