TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1517655603;03/02/2018 11:00:03;16,1667;29,4444;84;946,191;0;311;
1517655663;03/02/2018 11:01:03;16,1667;29,4444;84;946,191;0;311;
1517655723;03/02/2018 11:02:03;16,1667;29,4444;84;946,191;0;311;
1517655788;03/02/2018 11:03:08;16,1667;29,4444;84;946,191;1,06093;311;
1517656838;03/02/2018 11:20:38;16,6111;28,8889;84;946,394;0;311;
1517656903;03/02/2018 11:21:43;16,6111;28,8889;84;946,36;2,12187;311;
1517656963;03/02/2018 11:22:43;16,6111;28,8889;83;946,36;1,06093;311;
1517657023;03/02/2018 11:23:43;16,6667;28,8889;84;946,394;2,12187;311;
1517657083;03/02/2018 11:24:43;16,6667;28,8889;84;946,394;4,24374;311;
1517657148;03/02/2018 11:25:48;16,6667;28,8889;84;946,394;3,1828;311;
1517657208;03/02/2018 11:26:48;16,6667;28,8889;83;946,36;1,06093;311;
1517657273;03/02/2018 11:27:53;16,6667;28,8889;83;946,36;2,12187;311;
1517657333;03/02/2018 11:28:53;16,6667;28,8889;83;946,326;1,06093;311;
1517657393;03/02/2018 11:29:53;16,6667;28,8889;83;946,326;1,06093;311;
1517657453;03/02/2018 11:30:53;16,6667;28,8889;83;946,326;1,06093;311;
1517657513;03/02/2018 11:31:53;16,6667;28,8889;83;946,36;2,12187;311;
1517657578;03/02/2018 11:32:58;16,6667;28,8889;83;946,36;1,06093;311;
1517657638;03/02/2018 11:33:58;16,6667;28,8889;83;946,394;1,06093;311;
1517657698;03/02/2018 11:34:58;16,6667;28,8889;83;946,428;2,12187;311;
1517657763;03/02/2018 11:36:03;16,6667;28,8889;84;946,428;2,12187;311;
1517657823;03/02/2018 11:37:03;16,6667;28,8889;84;946,462;2,12187;311;
1517657888;03/02/2018 11:38:08;16,6667;28,8889;84;946,462;3,1828;311;
1517657948;03/02/2018 11:39:08;16,6667;28,8889;84;946,496;3,1828;311;
1517658013;03/02/2018 11:40:13;16,6667;28,8889;84;946,462;3,1828;311;
1517658073;03/02/2018 11:41:13;16,7222;28,8889;84;946,462;1,06093;311;
1517658138;03/02/2018 11:42:18;16,7222;28,8889;84;946,496;1,06093;311;
1517658198;03/02/2018 11:43:18;16,7222;28,8889;84;946,462;0;311;
1517658263;03/02/2018 11:44:23;16,7222;28,8889;84;946,428;0;311;
