,Unnamed: 0,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,0,16,1,3:59.421,0,35.7,3:59.421,2020-11-10 14:03:59.421,Oliver TURVEY,0:02:30.378,,1,NIO Formula E Team,,20.5,20.5556,3.1828,101.0
1,1,16,2,1:28.928,0,96.2,5:28.349,2020-11-10 14:05:28.349,Oliver TURVEY,,,1,NIO Formula E Team,,,,,
2,2,16,3,1:09.943,2,122.3,6:38.292,2020-11-10 14:06:38.292,Oliver TURVEY,,,1,NIO Formula E Team,,20.5278,20.5556,4.243735,121.5
3,3,18,1,3:39.260,0,39.0,3:39.260,2020-11-10 14:03:39.260,André LOTTERER,0:02:03.322,,1,TECHEETAH,,20.5,20.5556,3.1828,101.0
4,4,18,2,1:28.818,0,96.3,5:08.078,2020-11-10 14:05:08.078,André LOTTERER,,,1,TECHEETAH,,,,,
5,5,18,3,1:10.598,2,121.2,6:18.676,2020-11-10 14:06:18.676,André LOTTERER,,,1,TECHEETAH,,20.5556,20.5556,5.30467,142.0
6,6,20,1,4:06.391,0,34.7,4:06.391,2020-11-10 14:04:06.391,Mitch EVANS,0:02:33.758,,1,Panasonic Jaguar Racing,,20.5,20.5556,3.1828,101.0
7,7,20,2,1:28.594,0,96.6,5:34.985,2020-11-10 14:05:34.985,Mitch EVANS,,,1,Panasonic Jaguar Racing,,,,,
8,8,20,3,1:10.087,2,122.1,6:45.072,2020-11-10 14:06:45.072,Mitch EVANS,,,1,Panasonic Jaguar Racing,,20.5278,20.5556,4.243735,121.5
9,9,3,1,3:54.446,0,36.5,3:54.446,2020-11-10 14:03:54.446,Nelson PIQUET,0:02:22.788,,1,Panasonic Jaguar Racing,,20.5,20.5556,3.1828,101.0
